地名,センター（center.csvを使わない場合は空白化）,もやすごみ,もやさないごみ,資源ごみ,資源びん
杵築A地区,キツキ環境センター,火 金,水4,木1 木3,水2
煙硝倉,キツキ環境センター,火 金,水4,木1 木3,水2
礼ノ辻,キツキ環境センター,火 金,水4,木1 木3,水2
弓町,キツキ環境センター,火 金,水4,木1 木3,水2
天満,キツキ環境センター,火 金,水4,木1 木3,水2
仲町,キツキ環境センター,火 金,水4,木1 木3,水2
谷町,キツキ環境センター,火 金,水4,木1 木3,水2
魚町,キツキ環境センター,火 金,水4,木1 木3,水2
据場,キツキ環境センター,火 金,水4,木1 木3,水2
錦江,キツキ環境センター,火 金,水4,木1 木3,水2
杉山,キツキ環境センター,火 金,水4,木1 木3,水2
城山,キツキ環境センター,火 金,水4,木1 木3,水2
塩田,キツキ環境センター,火 金,水4,木1 木3,水2
下本庄,ヒロ建設環境部,火 金,水4,木1 木3,水2
上本庄,ヒロ建設環境部,火 金,水4,木1 木3,水2
平尾台,ヒロ建設環境部,火 金,水4,木1 木3,水2
友清,ヒロ建設環境部,火 金,水4,木1 木3,水2
熊丸,ヒロ建設環境部,火 金,水4,木1 木3,水2
野添,ヒロ建設環境部,火 金,水4,木1 木3,水2
出原,ヒロ建設環境部,火 金,水4,木1 木3,水2
相原,ヒロ建設環境部,火 金,水4,木1 木3,水2
野田,ヒロ建設環境部,火 金,水4,木1 木3,水2
新庄,ヒロ建設環境部,火 金,水4,木1 木3,水2
中,ヒロ建設環境部,火 金,水4,木1 木3,水2
鹿倉,ヒロ建設環境部,火 金,水4,木1 木3,水2
生桑,ヒロ建設環境部,火 金,水4,木1 木3,水2
大左右,ヒロ建設環境部,火 金,水4,木1 木3,水2
山中,ヒロ建設環境部,火 金,水4,木1 木3,水2
杵築B地区,キツキ環境センター,月 木,水3,金1 金3,水1
北祇園,キツキ環境センター,月 木,水3,金1 金3,水1
南祇園,キツキ環境センター,月 木,水3,金1 金3,水1
西新町,キツキ環境センター,月 木,水3,金1 金3,水1
古野,キツキ環境センター,月 木,水3,金1 金3,水1
